id,book,paragraph,title,abbr
70,64,2,visuddhimagga,Vism
71,65,2,visuddhimagga,Vism
72,66,2,visuddhimagga-mahāṭīkā,VismT
73,67,2,visuddhimagga-mahāṭīkā,VismT
74,68,2,visuddhimagga nidānakathā,VismNid
75,69,3,paṭṭhānapāḷi,Paṭṭh
76,70,3,paṭṭhānapāḷi,Paṭṭh
77,71,3,paṭṭhānapāḷi,Paṭṭh
78,72,3,paṭṭhānapāḷi,Paṭṭh
79,73,3,dhammasaṅgaṇīpāḷi,Dhs
80,74,3,vibhaṅgapāḷi,Vibh
81,75,3,dhātukathāpāḷi,Dhātuk
82,76,3,puggalapaññattipāḷi,Pugg
83,77,3,kathāvatthupāḷi,Kv
84,78,3,yamakapāḷi,Yam
85,79,3,yamakapāḷi,Yam
86,80,3,yamakapāḷi,Yam
87,81,3,paṭṭhānapāḷi,Paṭṭh
88,82,3,aṅguttaranikāyapāḷi,An
89,83,3,aṅguttaranikāyapāḷi,An
90,84,3,aṅguttaranikāyapāḷi,An
91,85,3,aṅguttaranikāyapāḷi,An
92,86,3,aṅguttaranikāyapāḷi,An
93,87,3,aṅguttaranikāyapāḷi,An
94,88,3,aṅguttaranikāyapāḷi,An
95,89,3,aṅguttaranikāyapāḷi,An
96,90,3,aṅguttaranikāyapāḷi,An
97,91,3,aṅguttaranikāyapāḷi,An
98,92,3,aṅguttaranikāyapāḷi,An
99,93,3,dīghanikāyapāḷi,Dn
100,94,3,dīghanikāyapāḷi,Dn
101,95,3,dīghanikāyapāḷi,Dn
102,96,4,dhammasaṅgaṇī-aṭṭhakathā,DhsA
103,97,4,vibhaṅga-aṭṭhakathā,VibhA
104,98,4,dhātukathā-aṭṭhakathā,DhātukA
105,98,173,puggalapaññatti-aṭṭhakathā,PuggA
106,98,474,kathāvatthu-aṭṭhakathā,KvA
107,98,1623,yamakappakaraṇa-aṭṭhakathā,YamA
108,98,1880,paṭṭhānappakaraṇa-aṭṭhakathā,PaṭṭhA
109,99,3,manorathapūraṇī,AnA
110,100,3,manorathapūraṇī,AnA
111,100,325,manorathapūraṇī,AnA
112,100,997,manorathapūraṇī,AnA
113,101,3,manorathapūraṇī,AnA
114,101,503,manorathapūraṇī,AnA
115,101,792,manorathapūraṇī,AnA
